identifier,tablet,sign,reading,context,note,image
7868344e-1a0f-4291-821d-501d9b7d753e,BM 94594,SI,si,1 bán ka-si-ia,,7868344e-1a0f-4291-821d-501d9b7d753e.png
6d8f1f81-058c-4e3f-9264-e96846ec864d,BM 94594,DUG,DUG,DUG.ha-aṣ-[bu],,6d8f1f81-058c-4e3f-9264-e96846ec864d.png
a5cc54bd-f438-470a-a1eb-1d3e959f2e9f,BM 94594,KAL,kal,I.kal-ba-a,PN,a5cc54bd-f438-470a-a1eb-1d3e959f2e9f.png
9ca5c8c9-5bb5-4e03-8b23-49af8bd1b90f,BM 94594,KAL,dan,DUG.dan-nu,,9ca5c8c9-5bb5-4e03-8b23-49af8bd1b90f.png
4c98512e-4f83-4e4e-9300-343a0960cf1f,BM 94594,BI,KAŠ,DUG.dan-nu šá KAŠ.Ú.SA,,4c98512e-4f83-4e4e-9300-343a0960cf1f.png
bae931de-f9e5-41a5-aec4-d8aacdb78342,BM 94594,I,i,i-bal-lal-[ma],,bae931de-f9e5-41a5-aec4-d8aacdb78342.png
fe79a795-054d-462d-b3d9-8465af56872e,BM 94594,BAL,bal,i-bal-lal-[ma],,fe79a795-054d-462d-b3d9-8465af56872e.png
e024e26a-f082-4f5b-96a2-ed4530e36625,BM 94594,LÁ,lal,i-bal-lal-ma,,e024e26a-f082-4f5b-96a2-ed4530e36625.png
cb770685-9fbb-46eb-bd28-8c3b80bdaabb,BM 94594,TA,ta,a-na nap-ta-nu šá I.šu-la-a i-na[m-din],,cb770685-9fbb-46eb-bd28-8c3b80bdaabb.png
8a61933d-042f-4118-acd6-717113242e0f,BM 94594,ŠU,šu,a-na nap-ta-nu šá I.šu-la-a i-na[m-din],PN,8a61933d-042f-4118-acd6-717113242e0f.png
96b65c16-7853-43fe-bdf6-9bdf3fa35cf8,BM 94594,Ù,ù,pu-ut KAŠ.Ú.SA har-ṣu ù te-bu-[x x],,96b65c16-7853-43fe-bdf6-9bdf3fa35cf8.png
c937e5d6-36d2-41d6-b575-f34cab5b86f7,BM 94594,TE,te,pu-ut KAŠ.Ú.SA har-ṣu ù te-bu-[x x],,c937e5d6-36d2-41d6-b575-f34cab5b86f7.png
d17069f3-3f06-4971-95ef-067f023caceb,BM 94594,ID,iṭ,I.d+EN-TIN.iṭ,PN,d17069f3-3f06-4971-95ef-067f023caceb.png
e7509420-1801-49af-bc61-7c26e230ba96,YOS 17 286,TI,ti,URU.Ga-de-e-ti,,e7509420-1801-49af-bc61-7c26e230ba96.png
938aea60-80c4-4f72-b05c-943ddbc45f15,YOS 17 286,ZAG,ZAG,ZAG,,938aea60-80c4-4f72-b05c-943ddbc45f15.png
e61d0abb-895d-41a3-9958-bd83cac53151,YOS 17 286,ŠÀ,ŠÀ,A.ŠÀ,,e61d0abb-895d-41a3-9958-bd83cac53151.png
