,index,sign,glyph
14,3287,ID,23f5bbab-aace-48a2-aaef-df6f2a468563.png
8,1187,GI,45c864dd-91db-4fbf-aa87-298a192a05b0.png
68,411,ITU,8498e0d7-24f7-4386-88ca-8ed01b836334.png
49,5435,ŠÚ,af9a2649-727f-4cd2-a207-dfced52a2a04.png
12,5465,LA,77f79555-7ae8-4858-a797-f77014630429.png
38,3051,BIT,YOS2024_NCBT1938obvb_5.png
27,3843,BU,8357dbd7-73c3-4c6a-9c02-b65a99bc7e08.png
20,135,SU,cd3045ec-95cc-42e9-877d-2db477b126f2.png
9,3152,LÚ,653a22e7-e4f1-4b48-8fd2-aa56289fb02f.png
45,1224,GI,fc066ab4-8ca2-4467-bb41-b59dc15d815e.png
6,3622,ŠU,5cbd356b-98e9-45db-99e9-16b47777636f.png
49,3006,KAL,YOS2024_NCBT1938obvb_7.png
44,159,SU,37ca63d3-f35d-4599-84d3-d9d9db16292d.png
68,3407,DA,f605eacc-ccb0-48d0-8214-787346c4b9b9.png
2,273,KA,93832962-157f-4c03-a47f-3ae9c60fcee4.png
26,3842,BU,f5a3e3d9-01dc-483d-a4c5-5f959ec02647.png
23,3166,LÚ,e40599c0-78be-4f6b-b838-6f1fe5bad9c5.png
59,4645,ŠI,bcb4eb27-acee-472b-81cf-a808cbfbd1e8.png
57,3139,RA,82eef317-dbb0-4ae9-96f8-93f09ee705b8.png
46,4245,HE,cffe987e-7d41-4351-80f3-3a4d35393b2b.png
15,6328,KU,c3ec0d02-e3a8-4192-97e2-1a6153baade4.png
13,3095,RA,d8b6882c-e0bf-4400-b08c-8f86094ec638.png
48,4058,UD,BRM211_MLC2111obvc_5.png
20,867,TI,c4074e5f-4d21-4829-a47c-b6e0462ee43a.png
11,6324,KU,478abf42-8300-4979-aa10-4454815ea59f.png
36,3375,DA,67b0b1b3-2218-42e9-8cb6-b2ca15c1e265.png
2,345,ITU,9ea1d894-685e-4285-9264-b6205e05b28e.png
51,6428,NI,4a57e7aa-1d0d-4418-8246-94fa71e33d75.png
38,5491,LA,c4ba38b8-f455-4657-bfeb-f1941cb43edf.png
29,3172,LÚ,3f2c61f1-0eeb-4b7e-bfde-74604ac065e9.png
50,5334,LU,20c30643-326b-4468-bf72-a156b160d6d1.png
7,4593,ŠI,04085b0f-127e-443a-99cc-279a67a0b7a4.png
12,1191,GI,80a2bbc7-a8df-4e74-8170-b64c02fed66d.png
27,4613,ŠI,BRM213_MLC2113obv_4.png
51,5437,ŠÚ,cb6aee5c-e0f1-4d86-b46d-5fcf92e91132.png
45,468,TU,5844bea8-5faa-414e-932d-5727b9e43873.png
24,2981,KAL,3a911499-37fa-4fc9-9d40-ea39a6c1f653.png
29,6406,NI,1fcd3932-10d9-4345-9b34-3b656c6fc74f.png
20,3359,DA,e9eb6a56-2fcc-4e02-b25f-5ab69f947f5a.png
52,4638,ŠI,cf872c7b-762f-43e4-ad69-c1f65d570bf2.png
50,6363,KU,be4c3252-61aa-4499-b8a0-3ee1bf55913a.png
21,6078,NU,7b7851ec-c767-4504-89ea-e9b688de1ef3.png
11,3093,RA,f391f5dd-4418-4a04-9b20-561ea1048fee.png
59,2401,BI,d6411654-300a-4453-b5d6-ca090ad8cba6.png
53,6430,NI,9dc6002b-5e6d-4e48-9b17-13f0b7d725df.png
20,1199,GI,f48cefc7-7ded-4d91-94b1-2b4756821d78.png
9,925,BAR,77928b8f-a054-4787-a5ff-8a18788b488c.png
14,5298,LU,bc8761fc-d92c-4eef-aee9-c4a7bcc89e25.png
52,3391,DA,133fb198-e1f2-4659-b37d-9244e9b24fdb.png
19,1630,TA,9e941ae6-0f3d-4384-8700-e2bba4aaade0.png
49,709,RU,9152dc99-cec9-445c-abf8-1b9390de49a7.png
31,1210,GI,ea9e3457-57c4-4970-9dd2-26f4d4b82ff2.png
40,1219,GI,03ac82ae-a175-407d-a707-ebeb451b0822.png
5,4724,DI,ad2e493b-16f5-4dc9-9dc7-1c9c93d1242d.png
41,5427,ŠÚ,db9974a2-440e-42d1-b332-fc52727aee8d.png
27,2177,DU,fc54bcd6-01c1-47d3-a259-5d59318c0712.png
28,5723,A,45d891ce-f45f-4008-b9c7-faccd3c8c5bd.png
25,872,TI,1340af00-9c85-41c7-931c-a4813357a674.png
