,sign,glyph
4237,HE,14feb67c-9c23-43d4-97c2-080cbeb0dd2f.png
582,MU,YOS2010_MLC2654obv_14.png
3359,DA,e9eb6a56-2fcc-4e02-b25f-5ab69f947f5a.png
5753,A,39d902c9-5771-47f0-a45a-8038467636fe.png
3398,DA,2e53db44-8e68-44e3-87dd-decf0e7fe787.png
4810,KI,5b5cfd8c-fada-4241-8206-0bdda6231962.png
3773,ŠE,8ad47865-2011-437c-91c6-ab9da170fcf5.png
4948,DIN,d545a2c2-2989-4b82-9a5a-f5c8f9db70c0.png
6345,KU,20f68120-e800-4644-8a39-f2cd2925d7d2.png
5213,MEŠ,5c7c36af-f201-483a-860d-242a1dad751e.png
5147,MEŠ,3b536779-cf04-4eaf-af46-70e5166e4f27.png
5168,MEŠ,c41e6a45-9c07-42aa-9734-63aca439035e.png
1687,I,12d3913d-d342-44ce-9a29-cadcd3364932.png
367,ITU,f1357aec-d22e-4902-ab09-419060b436a7.png
6385,NI,29380b75-7290-4c7c-8648-e9128f50881d.png
349,ITU,7076197d-2a05-4f37-9bb6-4f0a62b596f3.png
5760,A,2620d1a5-3f8b-403c-84f4-4ab8c23532b7.png
5157,MEŠ,BRM211_MLC2111obvc_9.png
2374,BI,c439925d-6161-4417-a182-fbae915543bb.png
4634,ŠI,1a8a46ed-b1a1-47bd-87e6-42e5817000e4.png
3477,MA,b83e9dc4-bdc1-4716-bdf6-567d72621c27.png
4619,ŠI,b51eb50a-970d-4f96-bc2c-c43c771d69ca.png
5724,A,1805b1c5-1000-46ef-87b9-67fb856cc04f.png
6409,NI,70b91650-a9e0-447d-81f4-c0964a835d88.png
6318,KU,BRM213_MLC2113obv_17.png
3105,RA,92b6f694-6ef6-4f7d-b65b-c57c23d39e16.png
401,ITU,4136f05b-60ca-429a-b773-341e57044b58.png
5920,ŠÁ,a464a5dc-59d5-4fa5-83fc-e6aeb91016b8.png
4965,DIN,392604ad-9dee-4feb-a029-a8de66b04a53.png
3481,MA,a9f0b180-7712-4272-b19f-8e4f375963e7.png
888,TI,d0f4bd97-03ec-4c72-9bd5-744bae5fe744.png
6059,NU,279448bc-1f0f-4f1e-bd16-8f470f959551.png
596,MU,730a9ff4-a35d-470e-bf44-219b1c97e4dd.png
566,MU,2c6f2f60-a8cd-45de-a8bd-d2919fed8d23.png
118,SU,91302f90-333a-4e4d-b374-df3d29cf79d3.png
2902,Ú,ccaaa79e-2322-488d-afa9-9ba4e806df04.png
3776,ŠE,4885db9d-43f6-452f-8d62-70113b4421ab.png
4800,KI,27c5e139-66e9-4d57-904e-0c2bae58932c.png
4032,UD,31571998-a630-4250-a96d-22782c1d05c9.png
3755,KUR,e2f4dd70-3233-49b9-9c11-85eef27ba9e7.png
3867,BU,5ba4c4af-45d4-416f-b77e-8b4d4a4aac8d.png
